State,Same Since 2000,,,
Alabama,7,,rep,23
Alaska,7,,dem,16
Arizona,7,,swing,12
Arkansas,7,,,
California,1,,,
Colorado,4,,,
Connecticut,1,,,
Delaware,1,,,
District of Columbia,1,,,
Florida,4,,,
Georgia,7,,,
Hawaii,1,,,
Idaho,7,,,
Illinois,1,,,
Indiana,4,,,
Iowa,4,,,
Kansas,7,,,
Kentucky,7,,,
Louisiana,7,,,
Maine,1,,,
Maryland,1,,,
Massachusetts,1,,,
Michigan,7,,,
Minnesota,1,,,
Mississippi,7,,,
Missouri,7,,,
Montana,7,,,
Nebraska,7,,,
Nevada,4,,,
New Hampshire,4,,,
New Jersey,1,,,
New Mexico,4,,,
New York,1,,,
North Carolina,4,,,
North Dakota,7,,,
Ohio,4,,,
Oklahoma,7,,,
Oregon,1,,,
Pennsylvania,4,,,
Rhode Island,1,,,
South Carolina,7,,,
South Dakota,7,,,
Tennessee,7,,,
Texas,7,,,
Utah,7,,,
Vermont,1,,,
Virginia,4,,,
Washington,1,,,
West Virginia,7,,,
Wisconsin,4,,,
Wyoming,7,,,
